c1,v4,o1206225609,10.00,05-12-2023 16:07
c1,v1,o1207001551,10.00,05-12-2023 16:07
c1,v4,o1207005702,12.00,07-12-2023 00:57
c1,v3,o1207010248,8.00,07-12-2023 01:03
c1,v2,o1207010752,5.40,07-12-2023 01:08
c1,v2,o1207011014,5.40,07-12-2023 01:10
c1,v4,o1207011554,10.00,07-12-2023 01:16
c1,v1,o1207014126,9.90,07-12-2023 01:41
c1,v4,o1207021248,10.00,07-12-2023 02:13
c1,v3,o1207021757,25.00,07-12-2023 02:18
c1,v2,o1207022148,5.40,07-12-2023 02:22
c1,v4,o1207022358,20.00,07-12-2023 02:24
c1,r1,o1207022358,5.00,07-12-2023 02:24
c1,v4,o1207175811,10.00,07-12-2023 17:59
c1,r1,o1207175811,5.00,07-12-2023 17:59
c1,v3,o1207192131,8.00,07-12-2023 19:22
c1,r1,o1207192131,5.00,07-12-2023 19:22
c1,v2,o1207192445,10.80,07-12-2023 19:25
c1,r1,o1207192445,5.00,07-12-2023 19:25
